Date,Count
2021-11-29,0
2022-09-15,198
2022-09-19,200
2022-09-26,205
2022-10-03,219
2022-10-10,228
2022-10-17,230
2022-10-24,234
2022-10-31,242
2022-11-07,244
2022-11-14,250
2022-11-21,251
2022-11-28,263
2022-12-05,267
2022-12-12,273
2022-12-19,281
2022-12-26,284
2023-01-02,287
2023-01-09,292
2023-01-16,300
2023-01-23,305
2023-01-30,311
2023-02-06,314
2023-02-13,324
2023-02-20,330
2023-02-27,348
2023-03-06,717
2023-03-13,722
2023-03-20,727
2023-03-27,737
2023-04-03,745
2023-04-10,749
2023-04-17,757
2023-04-24,763
2023-05-01,767
2023-05-08,768
2023-05-15,770
2023-05-22,773
2023-05-29,774
2023-06-13,783
2023-06-19,789
2023-06-26,796
2023-07-03,804
